"year";"vmp";"Nload";"Pload"
1982;0;1955.19;NA
1983;0;1720.131;NA
1984;0;1767.351;130.999
1985;0;1004.001;125.999
1986;0;1616;91.999
1987;0;1684.6;106.001
1988;1;1905.766;96.021
1989;1;1539.192;57.295
1990;1;1403.339;46.189
1991;1;1141.109;38.715
1992;1;1402.533;32.751
1993;1;1063.029;32.136
1994;1;1471.486;45.797
1995;1;1313.567;41.698
1996;1;813.604;25.409
1997;1;809.24;29.065
1998;1;1056.97;35.578
1999;2;1186.983;41.654
2000;2;1237.237;39.519
2001;2;1065.997;39.901
2002;2;1105.624;40.952
2003;2;768.642;27.296
2004;3;956.937;NA
2005;3;810.179;NA
2006;3;1011.36;NA
